city,site,site_id,文化區,大學畢業率,曾經結婚率,年齡中位數,所得中位數(萬元),六都,外島,18案07逐年降火電,18案08停建煤電廠,18案09拒核食進口,18案10男女結合婚,18案11反同志教育,18案12立同婚專法,18案13國際賽正名,18案14同婚入民法,18案15挺性平教育,18案16廢非核時間,2020韓國瑜得票率,2020蔡英文得票率,2020國民黨不分區,2020民進黨不分區,21案17核四重啟用,21案18禁萊豬進口,21案19公投綁大選,21案20三接出大潭,22複01降公民權齡,2024侯友宜得票率,2024賴清德得票率,2024柯文哲得票率,2024國民黨不分區,2024民進黨不分區,2024民眾黨不分區
臺東縣,鹿野鄉,臺東縣鹿野鄉,原住民+客家,0.1128,0.6759,46.3125,54.1,0,0,0.758249641,0.734477721,0.742346939,0.753094911,0.679394565,0.581211287,0.444181326,0.297111417,0.313177211,0.313177211,0.543293718,0.425660927,0.509863429,0.275417299,0.580773043,0.589436971,0.583539911,0.590009891,0.459767073,0.469832109,0.326075551,0.20409234,0.48708186,0.29534947,0.146586891
臺東縣,達仁鄉,臺東縣達仁鄉,原住民族地區,0.0914,0.6515,42,58.8,0,0,0.786303107,0.827033953,0.754274858,0.804226919,0.737896494,0.680767061,0.311246201,0.221364985,0.232501522,0.232501522,0.785231409,0.183047322,0.778784648,0.093283582,0.831291235,0.853107345,0.849858357,0.844486334,0.405295316,0.684153597,0.111952407,0.203893997,0.736812882,0.091060522,0.119378123
臺東縣,綠島鄉,臺東縣綠島鄉,未定義,0.2087,0.6391,39,69.8,0,1,0.810829335,0.792674499,0.78228022,0.712710765,0.681847755,0.617647059,0.340983607,0.316239316,0.310092961,0.310092961,0.673654391,0.298583569,0.627405248,0.130029155,0.764423077,0.766773163,0.751203852,0.751602564,0.392417062,0.496304719,0.18590108,0.317794201,0.537609329,0.160349854,0.227405248
臺東縣,臺東市,臺東縣臺東市,原住民族地區,0.2079,0.6337,41,60.2,0,0,0.808870931,0.790110745,0.784930288,0.773720417,0.716635124,0.630070143,0.371749978,0.266853128,0.289528224,0.289528224,0.53733866,0.425083658,0.482364189,0.253802694,0.621585588,0.637064005,0.632517789,0.631974493,0.433959439,0.449618442,0.300129252,0.250252306,0.477248143,0.26635177,0.1932105
臺東縣,關山鎮,臺東縣關山鎮,原住民+客家,0.1461,0.6533,45,55,0,0,0.816942269,0.791555159,0.780316344,0.771057094,0.703191189,0.603192702,0.374824783,0.2625,0.297063903,0.297063903,0.578821483,0.383561644,0.545638489,0.245503597,0.666811468,0.664923747,0.675120245,0.663766855,0.450163642,0.510092615,0.268107338,0.221800047,0.534643735,0.233660934,0.161916462
臺東縣,蘭嶼鄉,臺東縣蘭嶼鄉,原住民族地區,0.1501,0.595,36,60.6,0,1,0.726495726,0.711925287,0.686925795,0.753094059,0.624765478,0.535423197,0.428856383,0.27615894,0.30458221,0.30458221,0.598219585,0.309792285,0.501265823,0.139873418,0.562737643,0.680958386,0.655612245,0.669230769,0.421487603,0.496379197,0.243581303,0.2600395,0.457789979,0.148249828,0.172958133
臺南市,七股區,臺南市七股區,未定義,0.1393,0.6932,46.5186,50.7,1,0,0.791780466,0.754453603,0.752747253,0.783040242,0.724634495,0.660464098,0.590203368,0.306199271,0.321108491,0.321108491,0.229944199,0.7412856,0.211479914,0.500185639,0.259773371,0.272199405,0.263969444,0.262107052,0.658930267,0.208678655,0.594292416,0.197028929,0.218590153,0.551470588,0.153932225
臺南市,下營區,臺南市下營區,未定義,0.1914,0.6947,46,56.3,1,0,0.786590352,0.752319772,0.760505194,0.757834461,0.705045141,0.62787449,0.591171617,0.328064552,0.346408159,0.346408159,0.270231802,0.700352447,0.243069478,0.453992395,0.313345241,0.331459238,0.323619632,0.319371728,0.631843985,0.248129214,0.540045936,0.21182485,0.26390255,0.49443898,0.170235303
臺南市,大內區,臺南市大內區,未定義,0.132,0.7156,49.2286,51.7,1,0,0.802013423,0.761360389,0.756470916,0.795821935,0.717662008,0.630451415,0.571534287,0.288162828,0.31503901,0.31503901,0.270052597,0.698389218,0.256052455,0.470914593,0.295133438,0.306026365,0.304702194,0.305808477,0.658642273,0.241111713,0.575888829,0.182999459,0.251300149,0.538261516,0.143387816
臺南市,山上區,臺南市山上區,未定義,0.176,0.6866,46.0543,53.1,1,0,0.783373301,0.741764945,0.75463336,0.767625899,0.684362586,0.614285714,0.57577955,0.325439267,0.351382052,0.351382052,0.281058618,0.688538933,0.265558302,0.450685239,0.35049762,0.362808843,0.349220104,0.352380952,0.637496008,0.248617512,0.527419355,0.223963134,0.272299365,0.484113909,0.172981878
臺南市,中西區,臺南市中西區,未定義,0.3413,0.645,43,61.6,1,0,0.751325155,0.713628134,0.73442208,0.707014312,0.659020619,0.623045362,0.544299832,0.3508726,0.362537413,0.362537413,0.306857775,0.653689679,0.264484575,0.404564836,0.369025783,0.377885447,0.386737272,0.376570341,0.590760177,0.269897791,0.516716123,0.213386086,0.280256893,0.454877644,0.182416122
臺南市,仁德區,臺南市仁德區,未定義,0.2563,0.6616,40.6964,59.3,1,0,0.779628855,0.754658385,0.773062434,0.742460223,0.693505713,0.63867967,0.497161395,0.320582095,0.334136323,0.334136323,0.30269219,0.659719521,0.267460121,0.41712125,0.370794299,0.384876217,0.384884356,0.376722315,0.582551372,0.261058738,0.497689837,0.241251424,0.275230705,0.451447148,0.196518456
臺南市,六甲區,臺南市六甲區,未定義,0.212,0.6731,43.5436,57,1,0,0.764376218,0.726270136,0.738976857,0.708578542,0.668951098,0.579651163,0.571460079,0.33577159,0.379195825,0.379195825,0.242539825,0.72440356,0.217737003,0.47148318,0.306486101,0.318700114,0.321413307,0.31443667,0.62492558,0.223473953,0.549856184,0.226669863,0.23737785,0.505781759,0.183631922
臺南市,北門區,臺南市北門區,未定義,0.1439,0.7056,47,52.2,1,0,0.796291013,0.759151656,0.758905671,0.794997548,0.71692001,0.643335815,0.560993426,0.322387282,0.298480084,0.298480084,0.263010284,0.714085385,0.240649371,0.481139583,0.326840541,0.334324414,0.334762533,0.32155827,0.650474163,0.254389108,0.560910068,0.184700824,0.26889215,0.511188555,0.144717535
臺南市,北區,臺南市北區,未定義,0.3237,0.6417,41.1751,64.4,1,0,0.764445582,0.738427858,0.76082067,0.709635639,0.670750831,0.630063378,0.506264757,0.349553493,0.360555129,0.360555129,0.326086691,0.63462502,0.285139676,0.376376524,0.409682923,0.420643175,0.427243036,0.417617897,0.565455171,0.291463242,0.474539154,0.233997604,0.301665606,0.418660504,0.197198458
臺南市,左鎮區,臺南市左鎮區,未定義,0.0998,0.7383,53.5595,50.6,1,0,0.790739627,0.747394237,0.737597131,0.829481253,0.743883394,0.66529563,0.561731694,0.254700855,0.286941581,0.286941581,0.324352694,0.651154654,0.296402878,0.441007194,0.352666667,0.369055593,0.35557038,0.364919355,0.640557006,0.280478395,0.571759259,0.147762346,0.287238246,0.514026077,0.103516397
臺南市,永康區,臺南市永康區,未定義,0.2883,0.6457,38.8631,61.9,1,0,0.783628053,0.753597571,0.770603952,0.716176441,0.671447949,0.617878867,0.491125642,0.340628368,0.352154915,0.352154915,0.309754504,0.651586132,0.272191915,0.387851448,0.392233896,0.405805372,0.409105885,0.403350156,0.569625403,0.267011529,0.471556012,0.26143246,0.280659614,0.417451151,0.215625921
臺南市,玉井區,臺南市玉井區,未定義,0.1631,0.6927,48.1481,53.6,1,0,0.80353118,0.770448046,0.775803403,0.78593482,0.743696748,0.634720992,0.469512195,0.278318903,0.300378856,0.300378856,0.412080697,0.554494449,0.37282145,0.341499086,0.464630225,0.466804503,0.472814866,0.465533088,0.569233456,0.354540723,0.435727296,0.20973198,0.373299547,0.391571086,0.164310483
